,Race_result_Pos,Race_result_No,Driver,Race_result_Car,Race_result_Laps,Race_result_Time/Retired,Race_result_PTS,Fastest_laps_Pos,Fastest_laps_No,Fastest_laps_Car,Fastest_laps_Lap,Fastest_laps_Time_of_day,Fastest_laps_Time,Fastest_laps_Avg_Speed,Pit_stop_summary_Stops,Pit_stop_summary_No,Pit_stop_summary_Car,Pit_stop_summary_Lap,Pit_stop_summary_Time_of_day,Pit_stop_summary_Time,Pit_stop_summary_Total,Starting_grid_Pos,Starting_grid_No,Starting_grid_Car,Starting_grid_Time,Qualifying_Pos,Qualifying_No,Qualifying_Car,Qualifying_Q1,Qualifying_Q2,Qualifying_Q3,Qualifying_Laps,Practice_3_Pos,Practice_3_No,Practice_3_Car,Practice_3_Time,Practice_3_Gap,Practice_3_Laps,Practice_2_Pos,Practice_2_No,Practice_2_Car,Practice_2_Time,Practice_2_Gap,Practice_2_Laps,Practice_1_Pos,Practice_1_No,Practice_1_Car,Practice_1_Time,Practice_1_Gap,Practice_1_Laps,location,year,Pit_stop_summary_Pos,Pit_stop_summary_Avg_Speed
288,16,18,Lance Stroll STR,Williams Mercedes,50,+1 lap,0,12,18,Williams Mercedes,44,14:19:04,1:33.400,227.062,1,18,Williams Mercedes,22,13:43:38,29.849,29.849,15,18,Williams Mercedes,1:42.573,16,18,Williams Mercedes,1:42.573,,,11,20,18,Williams Mercedes,1:31.358,+3.295s,18,15,18,Williams Mercedes,1:30.695,+2.199s,37,15,18,Williams Mercedes,1:31.684,+2.578s,24,Great Britain,2017,,
289,16,18,Lance Stroll STR,Williams Mercedes,50,+1 lap,0,12,18,Williams Mercedes,44,14:19:04,1:33.400,227.062,2,18,Williams Mercedes,42,14:15:32,28.335,58.184,15,18,Williams Mercedes,1:42.573,16,18,Williams Mercedes,1:42.573,,,11,20,18,Williams Mercedes,1:31.358,+3.295s,18,15,18,Williams Mercedes,1:30.695,+2.199s,37,15,18,Williams Mercedes,1:31.684,+2.578s,24,Great Britain,2017,,
290,17,94,Pascal Wehrlein WEH,Sauber Ferrari,50,+1 lap,0,11,94,Sauber Ferrari,34,14:03:32,1:33.342,227.203,1,94,Sauber Ferrari,2,13:10:06,29.861,29.861,17,94,Sauber Ferrari,1:42.593,18,94,Sauber Ferrari,1:42.593,,,10,18,94,Sauber Ferrari,1:30.621,+2.558s,24,20,94,Sauber Ferrari,1:31.929,+3.433s,30,19,94,Sauber Ferrari,1:33.029,+3.923s,23,Great Britain,2017,,
291,17,94,Pascal Wehrlein WEH,Sauber Ferrari,50,+1 lap,0,11,94,Sauber Ferrari,34,14:03:32,1:33.342,227.203,2,94,Sauber Ferrari,3,13:12:33,29.941,59.802,17,94,Sauber Ferrari,1:42.593,18,94,Sauber Ferrari,1:42.593,,,10,18,94,Sauber Ferrari,1:30.621,+2.558s,24,20,94,Sauber Ferrari,1:31.929,+3.433s,30,19,94,Sauber Ferrari,1:33.029,+3.923s,23,Great Britain,2017,,
292,17,94,Pascal Wehrlein WEH,Sauber Ferrari,50,+1 lap,0,11,94,Sauber Ferrari,34,14:03:32,1:33.342,227.203,3,94,Sauber Ferrari,31,13:58:18,31.250,1:31.052,17,94,Sauber Ferrari,1:42.593,18,94,Sauber Ferrari,1:42.593,,,10,18,94,Sauber Ferrari,1:30.621,+2.558s,24,20,94,Sauber Ferrari,1:31.929,+3.433s,30,19,94,Sauber Ferrari,1:33.029,+3.923s,23,Great Britain,2017,,
293,NC,14,Fernando Alonso ALO,McLaren Honda,32,DNF,0,18,14,McLaren Honda,22,13:44:04,1:34.263,224.983,1,14,McLaren Honda,20,13:40:30,28.269,28.269,20,14,McLaren Honda,1:30.600,13,14,McLaren Honda,1:37.598,1:30.600,,17,11,14,McLaren Honda,1:30.138,+2.075s,17,9,14,McLaren Honda,1:30.238,+1.742s,28,8,14,McLaren Honda,1:30.993,+1.887s,20,Great Britain,2017,,
294,NC,55,Carlos Sainz SAI,Toro Rosso,0,DNF,0,,,,,,,,,,,,,,,13,55,Toro Rosso,1:31.368,14,55,Toro Rosso,1:41.114,1:31.368,,15,17,55,Toro Rosso,1:30.515,+2.452s,19,11,55,Toro Rosso,1:30.555,+2.059s,26,11,55,Toro Rosso,1:31.200,+2.094s,24,Great Britain,2017,,
295,NC,30,Jolyon Palmer PAL,Renault,0,DNS,0,,,,,,,,,,,,,,,11,30,Renault,1:30.193,11,30,Renault,1:41.404,1:30.193,,18,14,30,Renault,1:30.302,+2.239s,16,18,30,Renault,1:30.879,+2.383s,25,18,30,Renault,1:32.450,+3.344s,16,Great Britain,2017,,
296,,,Antonio Giovinazzi GIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,50,Haas Ferrari,1:32.031,+2.925s,24,Great Britain,2017,,
297,1,5,Sebastian Vettel VET,Ferrari,70,1:39:46.713,25,4,5,Ferrari,69,15:41:32,1:20.807,195.176,1,5,Ferrari,32,14:50:43,22.317,22.317,1,5,Ferrari,1:16.276,1,5,Ferrari,1:17.244,1:16.802,1:16.276,14,1,5,Ferrari,1:17.017,,17,2,5,Ferrari,1:18.638,+0.183s,28,6,5,Ferrari,1:19.563,+1.077s,21,Hungary,2017,,
298,2,7,Kimi Räikkönen RAI,Ferrari,70,+0.908s,18,2,7,Ferrari,70,15:42:54,1:20.461,196.015,1,7,Ferrari,33,14:52:06,21.919,21.919,2,7,Ferrari,1:16.444,2,7,Ferrari,1:17.364,1:17.207,1:16.444,14,2,7,Ferrari,1:17.492,+0.475s,16,4,7,Ferrari,1:18.755,+0.300s,28,2,7,Ferrari,1:18.720,+0.234s,20,Hungary,2017,,
299,3,77,Valtteri Bottas BOT,Mercedes,70,+12.462s,15,6,77,Mercedes,68,15:40:22,1:21.214,194.198,1,77,Mercedes,30,14:48:04,22.681,22.681,3,77,Mercedes,1:16.530,3,77,Mercedes,1:18.058,1:17.362,1:16.530,18,3,77,Mercedes,1:17.914,+0.897s,15,3,77,Mercedes,1:18.656,+0.201s,33,5,77,Mercedes,1:19.248,+0.762s,30,Hungary,2017,,
300,4,44,Lewis Hamilton HAM,Mercedes,70,+12.885s,12,5,44,Mercedes,66,15:37:32,1:20.818,195.149,1,44,Mercedes,31,14:49:30,21.338,21.338,4,44,Mercedes,1:16.707,4,44,Mercedes,1:17.492,1:16.693,1:16.707,17,5,44,Mercedes,1:18.434,+1.417s,14,5,44,Mercedes,1:18.779,+0.324s,31,3,44,Mercedes,1:18.858,+0.372s,31,Hungary,2017,,
301,5,33,Max Verstappen VER,Red Bull Racing TAG Heuer,70,+13.276s,10,3,33,Red Bull Racing TAG Heuer,44,15:07:50,1:20.490,195.944,1,33,Red Bull Racing TAG Heuer,42,15:04:37,33.605,33.605,5,33,Red Bull Racing TAG Heuer,1:16.797,5,33,Red Bull Racing TAG Heuer,1:17.266,1:17.028,1:16.797,14,4,33,Red Bull Racing TAG Heuer,1:18.194,+1.177s,25,6,33,Red Bull Racing TAG Heuer,1:18.951,+0.496s,25,4,33,Red Bull Racing TAG Heuer,1:19.162,+0.676s,27,Hungary,2017,,
302,6,14,Fernando Alonso ALO,McLaren Honda,70,+71.223s,8,1,14,McLaren Honda,69,15:42:42,1:20.182,196.697,1,14,McLaren Honda,35,14:55:33,22.399,22.399,7,14,McLaren Honda,1:17.549,8,14,McLaren Honda,1:18.395,1:17.919,1:17.549,17,9,14,McLaren Honda,1:18.884,+1.867s,14,8,14,McLaren Honda,1:19.815,+1.360s,31,7,14,McLaren Honda,1:19.987,+1.501s,21,Hungary,2017,,
303,7,55,Carlos Sainz SAI,Toro Rosso,69,+1 lap,6,11,55,Toro Rosso,67,15:40:10,1:21.871,192.639,1,55,Toro Rosso,35,14:55:33,22.745,22.745,9,55,Toro Rosso,1:18.912,10,55,Toro Rosso,1:18.948,1:18.311,1:18.912,19,11,55,Toro Rosso,1:19.300,+2.283s,22,9,55,Toro Rosso,1:19.834,+1.379s,35,14,55,Toro Rosso,1:20.917,+2.431s,25,Hungary,2017,,
304,8,11,Sergio Perez PER,Force India Mercedes,69,+1 lap,4,14,11,Force India Mercedes,68,15:41:40,1:22.105,192.090,1,11,Force India Mercedes,34,14:54:12,24.017,24.017,13,11,Force India Mercedes,1:18.639,14,11,Force India Mercedes,1:19.095,1:18.639,,15,14,11,Force India Mercedes,1:19.609,+2.592s,22,12,11,Force India Mercedes,1:20.266,+1.811s,33,12,11,Force India Mercedes,1:20.574,+2.088s,23,Hungary,2017,,
305,9,31,Esteban Ocon OCO,Force India Mercedes,69,+1 lap,2,15,31,Force India Mercedes,60,15:30:38,1:22.431,191.330,1,31,Force India Mercedes,35,14:55:44,22.441,22.441,11,31,Force India Mercedes,1:18.495,12,31,Force India Mercedes,1:18.843,1:18.495,,16,12,31,Force India Mercedes,1:19.352,+2.335s,22,11,31,Force India Mercedes,1:20.126,+1.671s,34,,,,,,,Hungary,2017,,
306,10,2,Stoffel Vandoorne VAN,McLaren Honda,69,+1 lap,1,12,2,McLaren Honda,44,15:08:33,1:21.960,192.430,1,2,McLaren Honda,42,15:05:22,28.616,28.616,8,2,McLaren Honda,1:17.894,9,2,McLaren Honda,1:18.479,1:18.000,1:17.894,17,6,2,McLaren Honda,1:18.638,+1.621s,18,10,2,McLaren Honda,1:19.909,+1.454s,18,8,2,McLaren Honda,1:20.005,+1.519s,24,Hungary,2017,,
307,11,26,Daniil Kvyat KVY,Toro Rosso,69,+1 lap,0,9,26,Toro Rosso,42,15:06:03,1:21.631,193.206,1,26,Toro Rosso,40,15:02:57,22.273,22.273,16,26,Toro Rosso,1:18.538,13,26,Toro Rosso,1:18.702,1:18.538,,15,13,26,Toro Rosso,1:19.455,+2.438s,23,13,26,Toro Rosso,1:20.577,+2.122s,37,13,26,Toro Rosso,1:20.780,+2.294s,27,Hungary,2017,,
308,12,30,Jolyon Palmer PAL,Renault,69,+1 lap,0,7,30,Renault,68,15:41:59,1:21.589,193.305,1,30,Renault,46,15:11:22,22.684,22.684,10,30,Renault,1:18.415,11,30,Renault,1:18.699,1:18.415,,14,10,30,Renault,1:18.956,+1.939s,19,16,30,Renault,1:21.175,+2.720s,12,10,30,Renault,1:20.461,+1.975s,27,Hungary,2017,,
309,13,20,Kevin Magnussen MAG,Haas Ferrari,69,+1 lap,0,13,20,Haas Ferrari,67,15:40:34,1:22.100,192.102,1,20,Haas Ferrari,31,14:50:24,22.684,22.684,15,20,Haas Ferrari,1:19.095,16,20,Haas Ferrari,1:19.095,,,9,16,20,Haas Ferrari,1:19.895,+2.878s,19,17,20,Haas Ferrari,1:21.345,+2.890s,11,,,,,,,Hungary,2017,,
310,14,18,Lance Stroll STR,Williams Mercedes,69,+1 lap,0,16,18,Williams Mercedes,53,15:21:34,1:22.830,190.409,1,18,Williams Mercedes,29,14:47:41,21.804,21.804,17,18,Williams Mercedes,1:19.102,17,18,Williams Mercedes,1:19.102,,,9,18,18,Williams Mercedes,1:20.379,+3.362s,24,14,18,Williams Mercedes,1:20.791,+2.336s,31,15,18,Williams Mercedes,1:20.974,+2.488s,29,Hungary,2017,,
311,15,94,Pascal Wehrlein WEH,Sauber Ferrari,68,+2 laps,0,18,94,Sauber Ferrari,50,15:17:52,1:23.573,188.716,1,94,Sauber Ferrari,3,14:09:26,24.213,24.213,18,94,Sauber Ferrari,1:19.839,18,94,Sauber Ferrari,1:19.839,,,9,19,94,Sauber Ferrari,1:20.446,+3.429s,24,20,94,Sauber Ferrari,1:21.722,+3.267s,16,20,94,Sauber Ferrari,1:22.490,+4.004s,29,Hungary,2017,,
312,15,94,Pascal Wehrlein WEH,Sauber Ferrari,68,+2 laps,0,18,94,Sauber Ferrari,50,15:17:52,1:23.573,188.716,2,94,Sauber Ferrari,28,14:46:37,22.998,47.211,18,94,Sauber Ferrari,1:19.839,18,94,Sauber Ferrari,1:19.839,,,9,19,94,Sauber Ferrari,1:20.446,+3.429s,24,20,94,Sauber Ferrari,1:21.722,+3.267s,16,20,94,Sauber Ferrari,1:22.490,+4.004s,29,Hungary,2017,,
313,16,9,Marcus Ericsson ERI,Sauber Ferrari,68,+2 laps,0,10,9,Sauber Ferrari,66,15:40:51,1:21.752,192.920,1,9,Sauber Ferrari,1,14:05:01,25.179,25.179,20,9,Sauber Ferrari,1:19.972,20,9,Sauber Ferrari,1:19.972,,,8,20,9,Sauber Ferrari,1:20.748,+3.731s,19,19,9,Sauber Ferrari,1:21.559,+3.104s,31,18,9,Sauber Ferrari,1:21.785,+3.299s,31,Hungary,2017,,
314,16,9,Marcus Ericsson ERI,Sauber Ferrari,68,+2 laps,0,10,9,Sauber Ferrari,66,15:40:51,1:21.752,192.920,2,9,Sauber Ferrari,63,15:36:20,24.097,49.276,20,9,Sauber Ferrari,1:19.972,20,9,Sauber Ferrari,1:19.972,,,8,20,9,Sauber Ferrari,1:20.748,+3.731s,19,19,9,Sauber Ferrari,1:21.559,+3.104s,31,18,9,Sauber Ferrari,1:21.785,+3.299s,31,Hungary,2017,,
315,17,27,Nico Hulkenberg HUL,Renault,67,DNF,0,8,27,Renault,61,15:32:21,1:21.611,193.253,1,27,Renault,45,15:09:34,31.860,31.860,12,27,Renault,1:17.468,7,27,Renault,1:18.137,1:17.655,1:17.468,14,7,27,Renault,1:18.699,+1.682s,20,7,27,Renault,1:19.714,+1.259s,33,9,27,Renault,1:20.150,+1.664s,25,Hungary,2017,,
316,NC,40,Paul di Resta DIR,Williams Mercedes,60,DNF,0,17,40,Williams Mercedes,49,15:16:32,1:23.242,189.466,1,40,Williams Mercedes,34,14:55:06,22.399,22.399,19,40,Williams Mercedes,1:19.868,19,40,Williams Mercedes,1:19.868,,,11,,,,,,,,,,,,,,,,,,,Hungary,2017,,
317,NC,8,Romain Grosjean GRO,Haas Ferrari,20,DNF,0,19,8,Haas Ferrari,19,14:33:37,1:24.702,186.201,1,8,Haas Ferrari,20,14:35:03,22.638,22.638,14,8,Haas Ferrari,1:18.771,15,8,Haas Ferrari,1:19.085,1:18.771,,15,15,8,Haas Ferrari,1:19.622,+2.605s,21,18,8,Haas Ferrari,1:21.504,+3.049s,25,16,8,Haas Ferrari,1:21.313,+2.827s,20,Hungary,2017,,
318,NC,3,Daniel Ricciardo RIC,Red Bull Racing TAG Heuer,0,DNF,0,,,,,,,,,,,,,,,6,3,Red Bull Racing TAG Heuer,1:16.818,6,3,Red Bull Racing TAG Heuer,1:17.702,1:17.698,1:16.818,14,8,3,Red Bull Racing TAG Heuer,1:18.714,+1.697s,7,1,3,Red Bull Racing TAG Heuer,1:18.455,,32,1,3,Red Bull Racing TAG Heuer,1:18.486,,31,Hungary,2017,,
319,,,Felipe Massa MAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,19,Williams Mercedes,1:20.255,+3.238s,12,15,19,Williams Mercedes,1:20.869,+2.414s,22,11,19,Williams Mercedes,1:20.540,+2.054s,28,Hungary,2017,,
320,,,Alfonso Celis CEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,34,Force India Mercedes,1:21.602,+3.116s,24,Hungary,2017,,
321,,,Antonio Giovinazzi GIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,50,Haas Ferrari,1:22.251,+3.765s,8,Hungary,2017,,
322,1,44,Lewis Hamilton HAM,Mercedes,44,1:24:42.820,25,2,44,Mercedes,35,15:12:21,1:46.603,236.526,1,44,Mercedes,12,14:25:45,22.037,22.037,1,44,Mercedes,1:42.553,1,44,Mercedes,1:44.184,1:42.927,1:42.553,18,3,44,Mercedes,1:44.114,+0.198s,11,1,44,Mercedes,1:44.753,,17,2,44,Mercedes,1:45.555,+0.053s,19,Belgium,2017,,
323,1,44,Lewis Hamilton HAM,Mercedes,44,1:24:42.820,25,2,44,Mercedes,35,15:12:21,1:46.603,236.526,2,44,Mercedes,30,14:59:18,22.357,44.394,1,44,Mercedes,1:42.553,1,44,Mercedes,1:44.184,1:42.927,1:42.553,18,3,44,Mercedes,1:44.114,+0.198s,11,1,44,Mercedes,1:44.753,,17,2,44,Mercedes,1:45.555,+0.053s,19,Belgium,2017,,
324,2,5,Sebastian Vettel VET,Ferrari,44,+2.358s,18,1,5,Ferrari,41,15:23:04,1:46.577,236.583,1,5,Ferrari,14,14:29:26,22.443,22.443,2,5,Ferrari,1:42.795,2,5,Ferrari,1:44.275,1:43.987,1:42.795,13,2,5,Ferrari,1:44.113,+0.197s,15,5,5,Ferrari,1:45.235,+0.482s,20,3,5,Ferrari,1:45.647,+0.145s,13,Belgium,2017,,
325,2,5,Sebastian Vettel VET,Ferrari,44,+2.358s,18,1,5,Ferrari,41,15:23:04,1:46.577,236.583,2,5,Ferrari,30,14:59:18,25.650,48.093,2,5,Ferrari,1:42.795,2,5,Ferrari,1:44.275,1:43.987,1:42.795,13,2,5,Ferrari,1:44.113,+0.197s,15,5,5,Ferrari,1:45.235,+0.482s,20,3,5,Ferrari,1:45.647,+0.145s,13,Belgium,2017,,
326,3,3,Daniel Ricciardo RIC,Red Bull Racing TAG Heuer,44,+10.791s,15,3,3,Red Bull Racing TAG Heuer,44,15:28:34,1:47.549,234.445,1,3,Red Bull Racing TAG Heuer,14,14:29:45,22.900,22.900,6,3,Red Bull Racing TAG Heuer,1:43.863,6,3,Red Bull Racing TAG Heuer,1:45.114,1:44.224,1:43.863,12,6,3,Red Bull Racing TAG Heuer,1:45.286,+1.370s,18,6,3,Red Bull Racing TAG Heuer,1:46.072,+1.319s,15,5,3,Red Bull Racing TAG Heuer,1:46.352,+0.850s,22,Belgium,2017,,
327,3,3,Daniel Ricciardo RIC,Red Bull Racing TAG Heuer,44,+10.791s,15,3,3,Red Bull Racing TAG Heuer,44,15:28:34,1:47.549,234.445,2,3,Red Bull Racing TAG Heuer,30,14:59:47,23.180,46.080,6,3,Red Bull Racing TAG Heuer,1:43.863,6,3,Red Bull Racing TAG Heuer,1:45.114,1:44.224,1:43.863,12,6,3,Red Bull Racing TAG Heuer,1:45.286,+1.370s,18,6,3,Red Bull Racing TAG Heuer,1:46.072,+1.319s,15,5,3,Red Bull Racing TAG Heuer,1:46.352,+0.850s,22,Belgium,2017,,
328,4,7,Kimi Räikkönen RAI,Ferrari,44,+14.471s,12,5,7,Ferrari,36,15:14:13,1:47.730,234.051,1,7,Ferrari,15,14:31:33,22.533,22.533,4,7,Ferrari,1:43.270,4,7,Ferrari,1:44.729,1:43.700,1:43.270,11,1,7,Ferrari,1:43.916,,17,2,7,Ferrari,1:45.015,+0.262s,21,1,7,Ferrari,1:45.502,,13,Belgium,2017,,
329,4,7,Kimi Räikkönen RAI,Ferrari,44,+14.471s,12,5,7,Ferrari,36,15:14:13,1:47.730,234.051,2,7,Ferrari,17,14:35:29,30.373,52.906,4,7,Ferrari,1:43.270,4,7,Ferrari,1:44.729,1:43.700,1:43.270,11,1,7,Ferrari,1:43.916,,17,2,7,Ferrari,1:45.015,+0.262s,21,1,7,Ferrari,1:45.502,,13,Belgium,2017,,
330,4,7,Kimi Räikkönen RAI,Ferrari,44,+14.471s,12,5,7,Ferrari,36,15:14:13,1:47.730,234.051,3,7,Ferrari,29,14:57:52,22.963,1:15.869,4,7,Ferrari,1:43.270,4,7,Ferrari,1:44.729,1:43.700,1:43.270,11,1,7,Ferrari,1:43.916,,17,2,7,Ferrari,1:45.015,+0.262s,21,1,7,Ferrari,1:45.502,,13,Belgium,2017,,
331,5,77,Valtteri Bottas BOT,Mercedes,44,+16.456s,10,4,77,Mercedes,37,15:16:02,1:47.721,234.071,1,77,Mercedes,13,14:27:44,22.963,22.963,3,77,Mercedes,1:43.094,3,77,Mercedes,1:44.773,1:43.249,1:43.094,19,5,77,Mercedes,1:45.230,+1.314s,18,3,77,Mercedes,1:45.180,+0.427s,17,6,77,Mercedes,1:46.424,+0.922s,20,Belgium,2017,,
332,5,77,Valtteri Bottas BOT,Mercedes,44,+16.456s,10,4,77,Mercedes,37,15:16:02,1:47.721,234.071,2,77,Mercedes,30,14:59:31,22.919,45.882,3,77,Mercedes,1:43.094,3,77,Mercedes,1:44.773,1:43.249,1:43.094,19,5,77,Mercedes,1:45.230,+1.314s,18,3,77,Mercedes,1:45.180,+0.427s,17,6,77,Mercedes,1:46.424,+0.922s,20,Belgium,2017,,
333,6,27,Nico Hulkenberg HUL,Renault,44,+28.087s,8,7,27,Renault,39,15:19:44,1:48.922,231.490,1,27,Renault,11,14:24:21,23.507,23.507,7,27,Renault,1:44.982,7,27,Renault,1:45.280,1:44.988,1:44.982,15,11,27,Renault,1:46.064,+2.148s,11,7,27,Renault,1:46.441,+1.688s,24,12,27,Renault,1:48.037,+2.535s,15,Belgium,2017,,
334,6,27,Nico Hulkenberg HUL,Renault,44,+28.087s,8,7,27,Renault,39,15:19:44,1:48.922,231.490,2,27,Renault,29,14:58:06,23.539,47.046,7,27,Renault,1:44.982,7,27,Renault,1:45.280,1:44.988,1:44.982,15,11,27,Renault,1:46.064,+2.148s,11,7,27,Renault,1:46.441,+1.688s,24,12,27,Renault,1:48.037,+2.535s,15,Belgium,2017,,
335,7,8,Romain Grosjean GRO,Haas Ferrari,44,+31.553s,6,8,8,Haas Ferrari,37,15:16:08,1:49.087,231.140,1,8,Haas Ferrari,10,14:22:38,22.925,22.925,11,8,Haas Ferrari,1:45.133,12,8,Haas Ferrari,1:45.728,1:45.133,,12,13,8,Haas Ferrari,1:46.196,+2.280s,14,13,8,Haas Ferrari,1:47.285,+2.532s,15,17,8,Haas Ferrari,1:48.626,+3.124s,20,Belgium,2017,,
336,7,8,Romain Grosjean GRO,Haas Ferrari,44,+31.553s,6,8,8,Haas Ferrari,37,15:16:08,1:49.087,231.140,2,8,Haas Ferrari,29,14:58:27,22.756,45.681,11,8,Haas Ferrari,1:45.133,12,8,Haas Ferrari,1:45.728,1:45.133,,12,13,8,Haas Ferrari,1:46.196,+2.280s,14,13,8,Haas Ferrari,1:47.285,+2.532s,15,17,8,Haas Ferrari,1:48.626,+3.124s,20,Belgium,2017,,
337,8,19,Felipe Massa MAS,Williams Mercedes,44,+36.649s,4,11,19,Williams Mercedes,37,15:16:10,1:49.637,229.980,1,19,Williams Mercedes,11,14:24:38,22.667,22.667,16,19,Williams Mercedes,1:45.823,16,19,Williams Mercedes,1:45.823,,,7,16,19,Williams Mercedes,1:46.667,+2.751s,22,,,,,,,20,19,Williams Mercedes,,,3,Belgium,2017,,
338,8,19,Felipe Massa MAS,Williams Mercedes,44,+36.649s,4,11,19,Williams Mercedes,37,15:16:10,1:49.637,229.980,2,19,Williams Mercedes,29,14:58:40,23.092,45.759,16,19,Williams Mercedes,1:45.823,16,19,Williams Mercedes,1:45.823,,,7,16,19,Williams Mercedes,1:46.667,+2.751s,22,,,,,,,20,19,Williams Mercedes,,,3,Belgium,2017,,
339,9,31,Esteban Ocon OCO,Force India Mercedes,44,+38.154s,2,14,31,Force India Mercedes,37,15:16:11,1:49.721,229.804,1,31,Force India Mercedes,10,14:22:35,23.364,23.364,9,31,Force India Mercedes,1:45.369,9,31,Force India Mercedes,1:45.277,1:45.006,1:45.369,14,12,31,Force India Mercedes,1:46.179,+2.263s,14,8,31,Force India Mercedes,1:46.473,+1.720s,19,8,31,Force India Mercedes,1:47.670,+2.168s,27,Belgium,2017,,
340,9,31,Esteban Ocon OCO,Force India Mercedes,44,+38.154s,2,14,31,Force India Mercedes,37,15:16:11,1:49.721,229.804,2,31,Force India Mercedes,27,14:54:26,23.200,46.564,9,31,Force India Mercedes,1:45.369,9,31,Force India Mercedes,1:45.277,1:45.006,1:45.369,14,12,31,Force India Mercedes,1:46.179,+2.263s,14,8,31,Force India Mercedes,1:46.473,+1.720s,19,8,31,Force India Mercedes,1:47.670,+2.168s,27,Belgium,2017,,
341,9,31,Esteban Ocon OCO,Force India Mercedes,44,+38.154s,2,14,31,Force India Mercedes,37,15:16:11,1:49.721,229.804,3,31,Force India Mercedes,29,14:58:44,29.646,1:16.210,9,31,Force India Mercedes,1:45.369,9,31,Force India Mercedes,1:45.277,1:45.006,1:45.369,14,12,31,Force India Mercedes,1:46.179,+2.263s,14,8,31,Force India Mercedes,1:46.473,+1.720s,19,8,31,Force India Mercedes,1:47.670,+2.168s,27,Belgium,2017,,
342,10,55,Carlos Sainz SAI,Toro Rosso,44,+39.447s,1,13,55,Toro Rosso,39,15:19:52,1:49.709,229.829,1,55,Toro Rosso,19,14:39:43,24.095,24.095,13,55,Toro Rosso,1:45.439,14,55,Toro Rosso,1:45.374,1:45.439,,12,9,55,Toro Rosso,1:45.942,+2.026s,18,9,55,Toro Rosso,1:46.561,+1.808s,19,7,55,Toro Rosso,1:47.446,+1.944s,22,Belgium,2017,,
343,10,55,Carlos Sainz SAI,Toro Rosso,44,+39.447s,1,13,55,Toro Rosso,39,15:19:52,1:49.709,229.829,2,55,Toro Rosso,29,14:58:50,24.370,48.465,13,55,Toro Rosso,1:45.439,14,55,Toro Rosso,1:45.374,1:45.439,,12,9,55,Toro Rosso,1:45.942,+2.026s,18,9,55,Toro Rosso,1:46.561,+1.808s,19,7,55,Toro Rosso,1:47.446,+1.944s,22,Belgium,2017,,
344,11,18,Lance Stroll STR,Williams Mercedes,44,+48.999s,0,16,18,Williams Mercedes,41,15:23:40,1:50.543,228.095,1,18,Williams Mercedes,9,14:20:55,24.697,24.697,15,18,Williams Mercedes,1:46.915,18,18,Williams Mercedes,1:46.915,,,5,15,18,Williams Mercedes,1:46.620,+2.704s,18,17,18,Williams Mercedes,1:47.861,+3.108s,13,15,18,Williams Mercedes,1:48.541,+3.039s,24,Belgium,2017,,
345,11,18,Lance Stroll STR,Williams Mercedes,44,+48.999s,0,16,18,Williams Mercedes,41,15:23:40,1:50.543,228.095,2,18,Williams Mercedes,29,14:59:01,23.109,47.806,15,18,Williams Mercedes,1:46.915,18,18,Williams Mercedes,1:46.915,,,5,15,18,Williams Mercedes,1:46.620,+2.704s,18,17,18,Williams Mercedes,1:47.861,+3.108s,13,15,18,Williams Mercedes,1:48.541,+3.039s,24,Belgium,2017,,
346,12,26,Daniil Kvyat KVY,Toro Rosso,44,+49.940s,0,12,26,Toro Rosso,39,15:20:01,1:49.708,229.831,1,26,Toro Rosso,18,14:37:55,22.444,22.444,19,26,Toro Rosso,1:46.028,17,26,Toro Rosso,1:46.028,,,6,18,26,Toro Rosso,1:47.903,+3.987s,7,15,26,Toro Rosso,1:47.450,+2.697s,12,9,26,Toro Rosso,1:47.851,+2.349s,20,Belgium,2017,,
347,12,26,Daniil Kvyat KVY,Toro Rosso,44,+49.940s,0,12,26,Toro Rosso,39,15:20:01,1:49.708,229.831,2,26,Toro Rosso,30,15:01:33,23.341,45.785,19,26,Toro Rosso,1:46.028,17,26,Toro Rosso,1:46.028,,,6,18,26,Toro Rosso,1:47.903,+3.987s,7,15,26,Toro Rosso,1:47.450,+2.697s,12,9,26,Toro Rosso,1:47.851,+2.349s,20,Belgium,2017,,
348,13,30,Jolyon Palmer PAL,Renault,44,+53.239s,0,10,30,Renault,44,15:29:16,1:49.283,230.725,1,30,Renault,8,14:19:01,26.202,26.202,14,30,Renault,,10,30,Renault,1:45.447,1:44.685,DNS,10,7,30,Renault,1:45.491,+1.575s,11,10,30,Renault,1:46.670,+1.917s,23,11,30,Renault,1:47.930,+2.428s,14,Belgium,2017,,
349,13,30,Jolyon Palmer PAL,Renault,44,+53.239s,0,10,30,Renault,44,15:29:16,1:49.283,230.725,2,30,Renault,30,15:01:36,24.674,50.876,14,30,Renault,,10,30,Renault,1:45.447,1:44.685,DNS,10,7,30,Renault,1:45.491,+1.575s,11,10,30,Renault,1:46.670,+1.917s,23,11,30,Renault,1:47.930,+2.428s,14,Belgium,2017,,
